Filenames,Pred_Normal,Pred_Pneumonia,Pred_Virus,Pred_Bacteria,Pred_COVID,Normal,Pneumonia,Virus,Bacteria,COVID
IM-0605-0001.jpeg,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0
IM-0626-0001-0002.jpeg,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0
IM-0666-0001-0001.jpeg,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0
NORMAL2-IM-1365-0001.jpeg,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0
NORMAL2-IM-1333-0001.jpeg,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0
IM-0541-0001.jpeg,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0
NORMAL2-IM-0877-0001.jpeg,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0
IM-0027-0001.jpeg,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0
NORMAL2-IM-0353-0001.jpeg,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0
IM-0757-0001.jpeg,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0
NORMAL2-IM-1188-0001.jpeg,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0
IM-0450-0001.jpeg,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0
NORMAL2-IM-0663-0001.jpeg,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0
IM-0105-0001.jpeg,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0
IM-0701-0001.jpeg,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0
NORMAL2-IM-0028-0001.jpeg,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0
NORMAL2-IM-0287-0001.jpeg,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0
NORMAL2-IM-0366-0001.jpeg,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0
IM-0151-0001.jpeg,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0
NORMAL2-IM-0120-0001.jpeg,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0
NORMAL2-IM-0979-0001.jpeg,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0
NORMAL2-IM-0331-0001.jpeg,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0
NORMAL2-IM-0666-0001.jpeg,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0
NORMAL2-IM-1306-0001.jpeg,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0
IM-0473-0001.jpeg,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0
IM-0015-0001.jpeg,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0
NORMAL2-IM-1102-0001.jpeg,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0
NORMAL2-IM-0698-0001.jpeg,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0
NORMAL2-IM-0380-0001.jpeg,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0
IM-0295-0001.jpeg,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0
